Number,City,Country,Latitude,Longitude,Date,Max Temp (C),Cloudiness %,Humidity %,Wind Speed (kph)
1,Port Elizabeth,ZA,-33.92,25.57,1579821494,19.0,11,77,5.7
2,Avarua,CK,-21.21,-159.78,1579821494,28.0,90,88,4.1
3,Severo-Kuril'sk,RU,50.68,156.12,1579821232,-8.32,82,82,3.71
4,Albany,US,42.6,-73.97,1579821494,0.0,90,58,0.42
5,Copiapo,CL,-27.37,-70.33,1579821453,25.0,0,47,6.2
6,Iqaluit,CA,63.75,-68.51,1579821494,-33.0,5,67,12.9
7,Ushuaia,AR,-54.8,-68.3,1579821387,10.0,75,71,10.8
8,Doka,SD,13.52,35.77,1579821494,15.1,32,31,5.49
9,Salalah,OM,17.02,54.09,1579821495,24.0,75,78,1.5
10,Castro,BR,-24.79,-50.01,1579821495,15.55,100,98,3.02
11,Bloemfontein,ZA,-29.12,26.21,1579821495,19.0,72,68,5.1
12,Punta Arenas,CL,-53.15,-70.92,1579821495,13.0,40,43,10.8
13,Yulara,AU,-25.24,130.99,1579821306,25.0,72,36,7.2
14,Kodiak,US,57.79,-152.41,1579821495,-7.0,1,48,11.8
15,Nuuk,GL,64.18,-51.72,1579821496,-3.0,100,86,21.6
16,Olafsvik,IS,64.89,-23.71,1579821496,-0.64,100,64,18.24
17,Kapit,MY,2.02,112.93,1579821496,23.61,100,97,0.84
18,Tuktoyaktuk,CA,69.45,-133.04,1579821496,-26.0,40,75,4.6
19,Iwanai,JP,42.97,140.51,1579821496,-4.69,100,74,8.78
20,Te Anau,NZ,-45.42,167.72,1579821496,18.73,85,68,1.98
21,Ponta do Sol,PT,32.67,-17.1,1579821496,15.0,40,62,5.7
22,Hermanus,ZA,-34.42,19.23,1579821497,20.0,50,80,6.71
23,Pisco,PE,-13.7,-76.22,1579821497,25.56,75,30,5.7
24,Grindavik,IS,63.84,-22.43,1579821497,0.0,90,66,17.0
25,Kumul,CN,42.8,93.45,1579821497,-12.61,74,69,0.19
26,Novopokrovka,UA,49.84,36.55,1579821497,-3.0,29,58,5.0
27,Port Hardy,CA,50.7,-127.42,1579821497,10.0,75,87,3.6
28,Jamestown,US,42.1,-79.24,1579821497,3.33,90,43,2.6
29,Chui,UY,-33.7,-53.46,1579821498,20.8,0,82,4.73
30,Mount Gambier,AU,-37.83,140.77,1579821271,15.0,90,87,4.6
31,Mahebourg,MU,-20.41,57.7,1579821374,26.67,75,94,5.67
32,Kibre Mengist,ET,5.88,38.98,1579821498,13.61,100,61,0.7
33,Atuona,PF,-9.8,-139.03,1579821498,27.3,38,77,5.72
34,Svetlaya,RU,46.54,138.33,1579821498,-10.75,0,52,5.99
35,Butaritari,KI,3.07,172.79,1579821498,29.25,31,72,4.96
36,Yellowknife,CA,62.46,-114.35,1579821499,-20.0,75,83,3.6
37,Kapaa,US,22.08,-159.32,1579821363,26.0,75,65,5.7
